Unique_ID,Reference,yyyy,mm,Location,waters,Zone,Technology,Technology.mentioned,Effort,method,precision..high..med..low.,latitude,longitude,Fish,Details,lgest.spper,units,weight_conversion,largest.jewfish,largest.dhufish.kg,number,n.jewfish,n.spper,Species,me.s,X.Suggested..N.fishers,X.Suggested..N.boats.party,X.Suggested..Time.hrs,X.Suggested..Time.days,Effort.N,Effort.desc,Effort.time,Effort.time.desc,X,X.1,ALYSES,origil_details,details_check,terms,baldchin_groper,blue_groper,dhufish,groper_nondescript,pink_spper,queen_spper,grey_banded_cod,breaksea,whaler_shark,wobbegong,flathead,garfish,grey_nurse,gummy_shark_complex,hammerhead,hapuka,harlequin,herring,john_dory,king_george_whiting,silver_trevally,whiting,great_white,port_jackson,all_sharks,fish_number,max_number,dhu_specific_weight,pink_specific_weight,kg_mentioned,lb_mentioned,both_units
22,ST 08121957 p.61,1957,12,Rottnest (out past Rottnest),midshore,4,,,,boat,low,,,jewfish,"three jewfish, 22 lb largest ",,lb,0.453592,22,9.979024,3,3,0,,,,1,,,,,,,,,,"three jewfish, 22 lb largest ","three , 22 lb largest ","jewfish three jewfish, 22 lb largest ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_3,22,22,,FALSE,TRUE,FALSE_TRUE
19,ST 17111957 p.54,1957,11,"Rottnest, near rrow Neck",midshore,4,,,1 party,boat,med,,,spper,ten spper,,,,,0,10,0,10,,,,1,,,,,,,,,,ten spper,ten ,spper ten spper,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spper_10,#ME?,,,FALSE,FALSE,FALSE_FALSE
18,ST 10111957 p.54,1957,11,"Rottnest, north of West End",midshore,1,,,party of 4,boat,low,,,jewfish,"two jewfish, 38 lb largest",,lb,0.453592,38,17.236496,2,2,0,,,4,1,,,,,,,,,,"two jewfish, 38 lb largest","two , 38 lb largest","jewfish two jewfish, 38 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_2,38,38,,FALSE,TRUE,FALSE_TRUE
3,ST 24021957 p.30,1957,2,"Rottnest, off rrow Neck",midshore,4,,,,boat,med,,,jewfish,"seven jewfish, largest 40 lbs",,lb,0.453592,40,18.14368,7,7,0,,,,,,,,,,,,,Catch rates per trip multiple spp,"seven jewfish, largest 40 lbs","seven , largest 40 lbs","jewfish seven jewfish, largest 40 lbs",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_7,40,,,FALSE,TRUE,FALSE_TRUE
9,ST 23061957 p.46,1957,6,"Rottnest, off West End",midshore,1,They found the spot by accident,,1 party,boat,med,,,"jewfish, spper",three jewfish  42 lbs largest,,lb,0.453592,42,19.050864,3,3,1,,,,1,,,,,,,,,"How does level of detail change through time, % showing n fishers or n hrs",three jewfish  42 lbs largest,three   42 lbs largest,"jewfish, spper three jewfish  42 lbs largest",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper_3",42,,,FALSE,TRUE,FALSE_TRUE
23,ST 15121957 p.36,1957,12,"Rottnest, Roe Reef",midshore,4,Spearfishing,spearfishing,1 spearfisher,spearfisher,high,-31.97774534,115.5331615,north-west groper,giant',,,,,0,1,0,0,,,1,,,,,,,,,,,giant',giant',north-west groper giant',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,north-west groper_1,#ME?,,,FALSE,FALSE,FALSE_FALSE
4,ST 24031957 p.50,1957,3,"Rottnest, West End",midshore,4,,,"5 fishers, 1 boat",boat,med,,,jewfish,"nine jewfish, 34 lb largest; six spper",,lb,0.453592,34,15.422128,15,9,6,,Angus McClarty,5,1,,,,,,,,,Largest size per species through time,"nine jewfish, 34 lb largest; six spper","nine , 34 lb largest; six ","jewfish nine jewfish, 34 lb largest; six spper",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_15,34,34,,FALSE,TRUE,FALSE_TRUE
1,ST 10021957 p.32,1957,2,Somewhere south of Rottnest was the only clue he gave',midshore,5,"He found the spot by putting his his finger on a small piece of reef marked on his coast chart, and heading straight for it'",coastal chart,1 fisher,boat,low,,,"jewfish, spper","eleven jewfish, 42 lb largest; seven spper ",,lb,0.453592,42,19.050864,18,11,7,,,1,1,,,,,,,,,,"eleven jewfish, 42 lb largest; seven spper ","eleven , 42 lb largest; seven  ","jewfish, spper eleven jewfish, 42 lb largest; seven spper ",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper_18",42,42,,FALSE,TRUE,FALSE_TRUE
20,ST 24111957 p.60,1957,11,Sorrento,coastal,3,"12 lb line, split cane rod",Cane rod,1 fisher,shore,high,-31.82867757,115.7436973,blue pointer shark,"two blue pointer shark, 15 lb each",,lb,0.453592,,0,2,0,0,Blue pointer,Paddy Carter,1,,,,,,,,,,,"two blue pointer shark, 15 lb each","two , 15 lb each","blue pointer shark two blue pointer shark, 15 lb each",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,blue pointer shark_2,15,,,FALSE,TRUE,FALSE_TRUE
12,ST 06101957 p.48,1957,10,Swanbourne,coastal,3,"Fred was using a Rangoon cain rod, drum reel, 18lb line, and mullet strip bait'",Cane rod,1 fisher,shore,high,-31.97087179,115.7546503,grey nurse shark,"6 feet, 50 lb (38 lbs 'dressed')",,lb,0.453592,,0,1,0,0,Grey nurse,,1,,,,,,,,,,How does decision to leave out various data impact findings e.g. is more detail provided for higher catches therefore skewing CPUE if we only use high detail catches?,"6 feet, 50 lb (38 lbs 'dressed')","6 feet, 50 lb (38 lbs 'dressed')","grey nurse shark 6 feet, 50 lb (38 lbs 'dressed')",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,grey nurse shark_1,50,,,FALSE,TRUE,FALSE_TRUE
17,ST 10111957 p.54,1957,11,Swanbourne,coastal,3,"Fixed spool reels, 10 lb line",,2 fishers,shore,high,-31.97087179,115.7546503,gummy shark,"two gummy sharks, 12 lbs largest",,lb,0.453592,,0,2,0,0,Gummy shark,,2,,,,,,,,,,,"two gummy sharks, 12 lbs largest","two , 12 lbs largest","gummy shark two gummy sharks, 12 lbs largest",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,gummy shark_2,12,,,FALSE,TRUE,FALSE_TRUE
