"","ID","yyyy","month","largest.dhufish.kg","Zone","latitude","scientific","echo_sounders","gps","bathy","depth","depth_zone","geometry"
"36",36,1914,"5",7.257472,"nearshore_south",-32.1812378609949,"fish.size","pre","pre",-9.57818984985352,9.57818984985352,"nearshore",c(115.60599754057, -32.1812378609949)
"37",37,1914,"5",13.60776,"nearshore_south",-32.5020875755348,"fish.size","pre","pre",-15.6675281524658,15.6675281524658,"nearshore",c(115.632719784358, -32.5020875755348)
"38",38,1914,"5",14.514944,"nearshore_south",-32.5020875755348,"fish.size","pre","pre",-15.6675281524658,15.6675281524658,"nearshore",c(115.632719784358, -32.5020875755348)
"39",39,1914,"11",10.886208,"nearshore_south",-32.1375838636893,"fish.size","pre","pre",-9.36013889312744,9.36013889312744,"nearshore",c(115.648343912595, -32.1375838636893)
"40",40,1914,"11",10.886208,"nearshore_south",-32.1812378609949,"fish.size","pre","pre",-9.57818984985352,9.57818984985352,"nearshore",c(115.60599754057, -32.1812378609949)
"41",41,1915,"4",8.164656,"nearshore_south",-32.2914006771801,"fish.size","pre","pre",-10.8401908874512,10.8401908874512,"nearshore",c(115.679360012118, -32.2914006771801)
"42",42,1915,"6",7.257472,"nearshore_south",-32.0556331169244,"fish.size","pre","pre",-5.25950527191162,5.25950527191162,"nearshore",c(115.626279297433, -32.0556331169244)
"43",43,1915,"9",7.257472,"nearshore_south",-32.2914006771801,"fish.size","pre","pre",-10.8401908874512,10.8401908874512,"nearshore",c(115.679360012118, -32.2914006771801)
"44",44,1915,"12",9.07184,"nearshore_south",-32.2556679213533,"fish.size","pre","pre",-7.41618585586548,7.41618585586548,"nearshore",c(115.685350755099, -32.2556679213533)
"45",45,1915,"12",12.246984,"nearshore_south",-32.4228142190298,"fish.size","pre","pre",-8.37950038909912,8.37950038909912,"nearshore",c(115.667752042905, -32.4228142190298)
"46",46,1916,"1",7.257472,"near_rottnest",-32.0404775214667,"fish.size","pre","pre",-30.0926990509033,30.0926990509033,"inshore_demersal",c(115.446458294756, -32.0404775214667)
"47",47,1916,"4",14.061352,"nearshore_south",-32.3484847733669,"fish.size","pre","pre",-12.1529788970947,12.1529788970947,"nearshore",c(115.634703733395, -32.3484847733669)
"48",48,1916,"11",3.628736,"nearshore_south",-32.3353792318216,"fish.size","pre","pre",-18.3893585205078,18.3893585205078,"nearshore",c(115.708011655246, -32.3353792318216)
"49",49,1917,"5",9.979024,"nearshore_south",-32.4228142190298,"fish.size","pre","pre",-8.37950038909912,8.37950038909912,"nearshore",c(115.667752042905, -32.4228142190298)
"50",50,1917,"5",8.164656,"nearshore_south",-32.0556331169244,"fish.size","pre","pre",-5.25950527191162,5.25950527191162,"nearshore",c(115.626279297433, -32.0556331169244)
"51",51,1917,"10",9.979024,"nearshore_south",-32.3091143072383,"fish.size","pre","pre",-9.92881965637207,9.92881965637207,"nearshore",c(115.682810238112, -32.3091143072383)
"52",52,1917,"10",9.979024,"nearshore_south",-32.3091143072383,"fish.size","pre","pre",-9.92881965637207,9.92881965637207,"nearshore",c(115.682810238112, -32.3091143072383)
"53",53,1917,"10",9.979024,"near_rottnest",-31.9780327172232,"fish.size","pre","pre",-16.2506046295166,16.2506046295166,"nearshore",c(115.552483502535, -31.9780327172232)
"54",54,1919,"11",7.711064,"nearshore_south",-32.0556331169244,"fish.size","pre","pre",-5.25950527191162,5.25950527191162,"nearshore",c(115.626279297433, -32.0556331169244)
"55",55,1920,"4",6.350288,"nearshore_south",-32.0556331169244,"fish.size","pre","pre",-5.25950527191162,5.25950527191162,"nearshore",c(115.626279297433, -32.0556331169244)
"56",56,1921,"4",8.164656,"nearshore_south",-32.021885110171,"fish.size","pre","pre",-8.74916553497314,8.74916553497314,"nearshore",c(115.608355493395, -32.021885110171)
"57",57,1922,"4",11.793392,"nearshore_south",-32.021885110171,"fish.size","pre","pre",-8.74916553497314,8.74916553497314,"nearshore",c(115.608355493395, -32.021885110171)
"58",58,1923,"2",9.525432,"nearshore_south",-32.021885110171,"fish.size","pre","pre",-8.74916553497314,8.74916553497314,"nearshore",c(115.608355493395, -32.021885110171)
"59",59,1924,"8",2.721552,"nearshore_south",-32.0556331169244,"fish.size","pre","pre",-5.25950527191162,5.25950527191162,"nearshore",c(115.626279297433, -32.0556331169244)
"60",60,1925,"2",3.628736,"near_rottnest",-31.9912368391222,"fish.size","pre","pre",-6.88394260406494,6.88394260406494,"nearshore",c(115.569664176845, -31.9912368391222)
"61",61,1926,"11",16.329312,"near_rottnest",-31.9743902009404,"fish.size","pre","pre",-16.7285480499268,16.7285480499268,"nearshore",c(115.532439223403, -31.9743902009404)
"62",62,1927,"10",3.628736,"nearshore_south",-32.021885110171,"fish.size","pre","pre",-8.74916553497314,8.74916553497314,"nearshore",c(115.608355493395, -32.021885110171)
"63",63,1928,"10",15.87572,"nearshore_south",-32.189511750931,"fish.size","pre","pre",-21.0787048339844,21.0787048339844,"inshore_demersal",c(115.617835398813, -32.189511750931)
"64",64,1930,"9",18.14368,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-2.01922345533967,2.01922345533967,"nearshore",c(115.482858203312, -32.0125310038696)
"65",65,1931,"6",5.443104,"nearshore_south",-32.3020710229164,"fish.size","pre","pre",-21.0109119415283,21.0109119415283,"inshore_demersal",c(115.643831384204, -32.3020710229164)
"66",66,1936,"10",13.60776,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-3.12819600664079,3.12819600664079,"nearshore",c(115.482858203312, -32.0125310038696)
"67",67,1947,"3",6.80388,"nearshore_north",-31.8427833257445,"fish.size","pre","pre",-9.31745910644531,9.31745910644531,"nearshore",c(115.709204526931, -31.8427833257445)
"68",68,1951,"2",6.350288,"nearshore_south",-32.0876655103155,"fish.size","pre","pre",-9.04933071136475,9.04933071136475,"nearshore",c(115.65216521063, -32.0876655103155)
"69",69,1951,"10",15.87572,"near_rottnest",-31.9827687411473,"fish.size","pre","pre",-12.1172761917114,12.1172761917114,"nearshore",c(115.516951889149, -31.9827687411473)
"70",70,1952,"4",8.164656,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-6.85982677899301,6.85982677899301,"nearshore",c(115.482858203312, -32.0125310038696)
"71",71,1952,"4",11.3398,"nearshore_south",-32.4778542343185,"fish.size","pre","pre",-14.786247253418,14.786247253418,"nearshore",c(115.611782530145, -32.4778542343185)
"72",72,1952,"5",10.432616,"near_rottnest",-32.0195250208964,"fish.size","pre","pre",-5.19165992736816,5.19165992736816,"nearshore",c(115.500486790357, -32.0195250208964)
"73",73,1952,"5",27.21552,"near_rottnest",-32.0195250208964,"fish.size","pre","pre",-5.19165992736816,5.19165992736816,"nearshore",c(115.500486790357, -32.0195250208964)
"74",74,1952,"5",12.246984,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"75",75,1952,"5",12.246984,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-5.68549424596131,5.68549424596131,"nearshore",c(115.482858203312, -32.0125310038696)
"76",76,1952,"5",10.432616,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"77",77,1952,"6",12.246984,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-3.88728407025337,3.88728407025337,"nearshore",c(115.482858203312, -32.0125310038696)
"78",78,1952,"6",6.80388,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-3.78171998821199,3.78171998821199,"nearshore",c(115.482858203312, -32.0125310038696)
"79",79,1952,"7",6.80388,"nearshore_south",-32.1236968743513,"fish.size","pre","pre",-8.0330982208252,8.0330982208252,"nearshore",c(115.65482575753, -32.1236968743513)
"80",80,1952,"9",13.267566,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-7.86636835336685,7.86636835336685,"nearshore",c(115.482858203312, -32.0125310038696)
"81",81,1952,"10",19.050864,"near_rottnest",-31.9827687411473,"fish.size","pre","pre",-12.1172761917114,12.1172761917114,"nearshore",c(115.516951889149, -31.9827687411473)
"82",82,1953,"4",12.700576,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-5.53576655685902,5.53576655685902,"nearshore",c(115.482858203312, -32.0125310038696)
"83",83,1953,"4",22.6796,"near_rottnest",-31.9802385752272,"fish.size","pre","pre",-14.5558261871338,14.5558261871338,"nearshore",c(115.525344415815, -31.9802385752272)
"84",84,1953,"4",12.700576,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"85",85,1953,"8",15.87572,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"86",86,1954,"1",17.236496,"offshore_north",-31.8722793138723,"fish.size","pre","pre",-41.1849517822266,41.1849517822266,"inshore_demersal",c(115.50703964759, -31.8722793138723)
"87",87,1954,"2",14.74174,"near_rottnest",-31.9802385752272,"fish.size","pre","pre",-14.5558261871338,14.5558261871338,"nearshore",c(115.525344415815, -31.9802385752272)
"88",88,1954,"4",17.236496,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-3.41483356803656,3.41483356803656,"nearshore",c(115.482858203312, -32.0125310038696)
"89",89,1954,"6",14.514944,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-3.37016235105693,3.37016235105693,"nearshore",c(115.482858203312, -32.0125310038696)
"90",90,1954,"6",29.48348,"nearshore_north",-31.8286930711995,"fish.size","pre","pre",-6.68804407119751,6.68804407119751,"nearshore",c(115.704897088559, -31.8286930711995)
"91",91,1954,"6",20.41164,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-5.63709252886474,5.63709252886474,"nearshore",c(115.482858203312, -32.0125310038696)
"92",92,1954,"7",9.979024,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-5.52472232468426,5.52472232468426,"nearshore",c(115.482858203312, -32.0125310038696)
"93",93,1954,"9",14.968536,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"94",94,1955,"7",12.700576,"nearshore_north",-31.8315921743211,"fish.size","pre","pre",-17.6626930236816,17.6626930236816,"nearshore",c(115.680748247684, -31.8315921743211)
"95",95,1955,"9",15.422128,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-9.9762724917382,9.9762724917382,"nearshore",c(115.482858203312, -32.0125310038696)
"96",96,1955,"11",6.80388,"nearshore_north",-31.5764042077697,"fish.size","pre","pre",-26.7459106445312,26.7459106445312,"inshore_demersal",c(115.555911177368, -31.5764042077697)
"97",97,1957,"2",19.050864,"near_rottnest",-32.0722889992411,"fish.size","pre","pre",-43.9242744445801,43.9242744445801,"inshore_demersal",c(115.490977404601, -32.0722889992411)
"98",98,1957,"2",18.14368,"near_rottnest",-32.0169907465796,"fish.size","pre","pre",-5.11267202161252,5.11267202161252,"nearshore",c(115.47433198872, -32.0169907465796)
"99",99,1957,"3",15.422128,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"100",100,1957,"4",9.07184,"nearshore_south",-32.2035324959805,"fish.size","pre","pre",-12.0632495880127,12.0632495880127,"nearshore",c(115.661056937854, -32.2035324959805)
"101",101,1957,"6",19.050864,"near_rottnest",-32.0245742010837,"fish.size","pre","pre",-44.8584632873535,44.8584632873535,"inshore_demersal",c(115.413819982007, -32.0245742010837)
"102",102,1957,"10",9.525432,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-7.77148044854403,7.77148044854403,"nearshore",c(115.482858203312, -32.0125310038696)
"103",103,1957,"10",9.525432,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-6.72103811986744,6.72103811986744,"nearshore",c(115.482858203312, -32.0125310038696)
"104",104,1957,"10",13.60776,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-7.32348156534135,7.32348156534135,"nearshore",c(115.482858203312, -32.0125310038696)
"105",105,1957,"11",17.236496,"offshore_north",-31.931425295389,"fish.size","pre","pre",-47.4763832092285,47.4763832092285,"inshore_demersal",c(115.430116554761, -31.931425295389)
"106",106,1957,"12",9.979024,"offshore_north",-32.0215658108117,"fish.size","pre","pre",-86.9397583007812,86.9397583007812,"inshore_demersal",c(115.370555772924, -32.0215658108117)
"107",107,1958,"4",7.711064,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-8.64305224269629,8.64305224269629,"nearshore",c(115.482858203312, -32.0125310038696)
"108",108,1958,"5",13.154168,"offshore_south",-32.0293186119711,"fish.size","pre","pre",-88.8349838256836,88.8349838256836,"inshore_demersal",c(115.372525778237, -32.0293186119711)
"109",109,1958,"6",9.525432,"offshore_north",-31.6719193774324,"fish.size","pre","pre",-32.272632598877,32.272632598877,"inshore_demersal",c(115.543775280075, -31.6719193774324)
"110",110,1958,"10",15.87572,"nearshore_north",-31.8916489447231,"fish.size","pre","pre",-14.5154075622559,14.5154075622559,"nearshore",c(115.707778998506, -31.8916489447231)
"111",111,1958,"11",13.154168,"near_rottnest",-32.0722889992411,"fish.size","pre","pre",-43.9242744445801,43.9242744445801,"inshore_demersal",c(115.490977404601, -32.0722889992411)
"112",112,1959,"4",12.700576,"offshore_north",-31.8990308486219,"fish.size","pre","pre",-44.3332862854004,44.3332862854004,"inshore_demersal",c(115.461211173273, -31.8990308486219)
"113",113,1959,"5",14.514944,"nearshore_north",-31.5764042077697,"fish.size","pre","pre",-26.7459106445312,26.7459106445312,"inshore_demersal",c(115.555911177368, -31.5764042077697)
"114",114,1959,"8",11.3398,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-5.10308800265193,5.10308800265193,"nearshore",c(115.482858203312, -32.0125310038696)
