yyyy,mm,Decade,Location,Zone,...5,Fish,number,size,largest.jewfish,largest.dhufish.kg,Reference,,,,
1915,NA,1910-1919,Straggler Reefs,6,boat,jewfish,1,16 lb,16,7.257472,19150625WM,,,,
1915,NA,1910-1919,"Carnac Island, Challenger Passage",6,NA,jewfish,3,NA,,0,19151112WM,,,,
1915,NA,1910-1919,Five Fathom Bank,8,NA,jewfish,3,part of 200 lb catch,,0,19151112WM,,,,
1915,NA,1910-1919,"Rockingham, Murray Reefs",10,NA,jewfish,1,27 lb,27,12.246984,19151210WM,,,,
1915,NA,1910-1919,"Rockingham, Shoalwater Bay",10,NA,jewfish,1,16 lb,16,7.257472,19150924WM,,,,
1915,4,1910-1919,"Rockingham, Shoalwater Bay area",10,NA,jewfish,NA,over 18 lb,18,8.164656,19150423WM,,,,
1915,12,1910-1919,"Rockingham, South Channel area",8,NA,jewfish,NA,up to 20 lb,20,9.07184,19151210WM,,,,
1916,NA,1910-1919,"Five Fathom Bank, Coventry Reef",8,boat,jewfish,6,largest 31 lb,31,14.061352,19160428WM,,,,
1916,NA,1910-1919,between Penguin Island & Tub Rocks,10,NA,jewfish,4,NA,,0,19160114WM,,,,
1916,NA,1910-1919,Five Fathom Bank,8,NA,jewfish,couple',NA,,0,19160204WM,,,,
1916,NA,1910-1919,Five Fathom Bank,8,NA,jewfish,3,NA,,0,19160310WM,,,,
1916,NA,1910-1919,"Rockingham, Murray Reefs",10,NA,jewfish,4,part of 150 lb catch,,0,19161110WM,,,,
1916,NA,1910-1919,"Rockingham, Safety Bay area",10,NA,jewfish,1,8 lb,8,3.628736,19161110WM,,,,
1916,NA,1910-1919,"Rottnest Island, West End (south)",4,NA,jewfish,1,16 lb,16,7.257472,19160121WM,,,,
1917,NA,1910-1919,"Rockingham, Murray Reefs",10,boat,jewfish,5,largest 22 lb,22,9.979024,19170518WM,,,,
1917,NA,1910-1919,"Rottnest Island, Bathurst Point",4,boat,jewfish,5,largest 22 lb,22,9.979024,19171026WM,,,,
1917,NA,1910-1919,Straggler Reefs,6,boat,jewfish,3,"8.5 lb, 14 lb & 18 lb",18,8.164656,19170518WM,,,,
1917,NA,1910-1919,Champion Buoy,,NA,jewfish,3,NA,,0,19171026WM,,,,
1917,NA,1910-1919,Rockingham area,9,NA,jewfish,NA,up to 22 lb,22,9.979024,19171026WM,,,,
1917,NA,1910-1919,Rockingham area,9,NA,jewfish,NA,up to 22 lb,22,9.979024,19171026WM,,,,
1918,NA,1910-1919,Rottnest Island,4,boat,jewfish,6,NA,,0,19180208WM,,,,
1918,NA,1910-1919,"Rottnest Island, West End",4,boat,jewfish,NA,part of two 4 cwt catches,,0,19180208WM,,,,
,,,,,,,,,,,,,,,
