"iteration","deviance_explained","s_yyyy_p_value"
1,0.576487685344218,0
2,0.597547836375363,0
3,0.576843958969413,0
4,0.605309041215565,0
5,0.548374576238911,0
6,0.618274039627416,0
7,0.588807461722083,0
8,0.58767129083877,0
9,0.639478371498129,0
10,0.547263601849482,0
11,0.556694353175043,0
12,0.52349339976766,0
13,0.667985171729189,0
14,0.517784990582625,0
15,0.617616213804991,0
16,0.543943928745313,0
17,0.617812922467146,0
18,0.665526783372682,0
19,0.562386619446111,0
20,0.642850054735613,0
21,0.580982931669634,0
22,0.568532852873964,0
23,0.532844137456961,0
24,0.544133635412095,0
25,0.593593971534579,0
26,0.588738070297117,0
27,0.659746650179431,0
28,0.558152421126089,0
29,0.501796253659108,0
30,0.562384730393779,0
31,0.628093706967315,0
32,0.5291490983707,0
33,0.546618049665921,0
34,0.446875568230789,7.5598291926493e-07
35,0.513575721373034,0
36,0.510358561039393,0
37,0.674219101316945,0
38,0.471014294542887,0
39,0.611408699983564,0
40,0.480316216579256,5.16387022253539e-07
41,0.522037202134511,3.76640230670411e-07
42,0.545295129253921,0
43,0.560810018437578,0
44,0.557396918629789,0
45,0.490433710722328,0
46,0.599891535478853,0
47,0.5123254886963,0
48,0.571736376067332,0
49,0.6261582667611,0
50,0.654728469237345,0
51,0.576195184771425,0
52,0.50211071860096,0
53,0.591432300445582,0
54,0.550784164702028,0
55,0.601130309166329,0
56,0.560148988676402,0
57,0.474531671348295,2.01253440135218e-07
58,0.517030068424233,0
59,0.517841308277291,0
60,0.511410065136712,1.82720796826352e-07
61,0.557483598102776,0
62,0.684278908950183,0
63,0.527960744951651,0
64,0.525920800642334,0
65,0.588094094413385,0
66,0.587980709270897,0
67,0.640105315272214,0
68,0.507826190120306,0
69,0.588070061538625,0
70,0.488488768124096,0
71,0.547129835887045,0
72,0.555621626388625,0
73,0.550995512052896,0
74,0.634897374310284,0
75,0.586625393272474,0
76,0.548639099617289,0
77,0.516987137571648,0
78,0.574026588957422,0
79,0.526342322859415,0
80,0.560942059011831,0
81,0.570523126662115,0
82,0.462896741222877,0
83,0.548924778260295,0
84,0.65320681747471,0
85,0.528664735061021,3.37097166847045e-07
86,0.600944836125111,0
87,0.595421264572627,0
88,0.560244650970626,0
89,0.645074090812024,0
90,0.580198435867109,0
91,0.626813577128717,0
92,0.553883926593593,0
93,0.501150568689574,0
94,0.542121706108611,0
95,0.515475030053647,0
96,0.631400019154339,0
97,0.55264418233495,0
98,0.619573030683911,0
99,0.584011833105809,0
100,0.586157794810473,0
101,0.600371092887287,0
102,0.630704715498791,0
103,0.629632468894233,0
104,0.56300463802579,0
105,0.535321778784759,0
106,0.437812495840646,8.76654742354432e-07
107,0.520811661158772,0
108,0.575304742703178,0
109,0.57391077228551,0
110,0.534203752099246,0
111,0.565447246615162,0
112,0.557165981584864,0
113,0.503904751121161,0
114,0.522499040625734,0
115,0.570494402156356,0
116,0.541414325742802,0
117,0.596834746454739,0
118,0.531654310080054,0
119,0.461035364842114,0
120,0.567286254937184,0
121,0.521813872754388,0
122,0.602498115325562,0
123,0.612109970529727,0
124,0.504110936393066,0
125,0.645629420864296,0
126,0.64592236547926,0
127,0.650876799034396,0
128,0.628776073743379,0
129,0.615316075302464,0
130,0.581627493621594,0
131,0.564032769888714,0
132,0.524423502189284,0
133,0.614160515834138,0
134,0.5328875634778,0
135,0.497231045902824,0
136,0.530494257462984,0
137,0.670867905610421,0
138,0.62237056188622,0
139,0.628124441160432,0
140,0.649895514050309,0
141,0.567981101150671,0
142,0.561866040196907,0
143,0.573434044949976,0
144,0.59649735226186,0
145,0.543532971013757,0
146,0.543124471560086,0
147,0.576447932429873,0
148,0.54830251550724,0
149,0.670914914484732,0
150,0.51531019712157,0
151,0.492586907991131,0
152,0.646476804220266,0
153,0.457683937851624,3.38865605797878e-07
154,0.546111572073405,0
155,0.662141662827159,0
156,0.633107208462585,0
157,0.568432091266325,0
158,0.586244432347117,0
159,0.565026377920027,0
160,0.522433694605659,0
161,0.525891886911753,0
162,0.476593170953028,2.37246976619865e-07
163,0.543691262857514,0
164,0.518440500915289,0
165,0.536070999181199,0
166,0.676398689420907,0
167,0.69224124767296,0
